path,size,lastModified
docs/architecture/ADRs/ADR-004-single-mcp-server.md,3002,2025-11-02T20:15:11Z
docs/architecture/ADRs/ADR-003-hybrid-knowledge-graph.md,3682,2025-11-02T20:15:11Z
docs/architecture/ADRs/ADR-002-database-as-source-of-truth.md,3159,2025-11-02T20:15:11Z
docs/architecture/ADRs/ADR-001-agent-first-architecture.md,3115,2025-11-02T20:15:11Z
.gemini/README.md,3358,2025-11-02T20:15:08Z
.agent/gemini/HOW_TO_USE_GEMINI.md,5684,2025-11-02T20:15:07Z
.agent/gemini/HOW_TO_USE_DEEP_AUDIT_CURSOR.md,20406,2025-11-02T20:15:07Z
.agent/gemini/HOW_TO_USE_CURSOR_AUDIT.md,8174,2025-11-02T20:15:07Z
.agent/gemini/GEMINI_AUDIT_PROMPT_SHORT.md,1745,2025-11-02T20:15:07Z
.agent/gemini/documentation-audit-prompt.md,36930,2025-11-02T20:15:07Z
.agent/gemini/documentation-audit-prompt-cursor-v2.md,28285,2025-11-02T20:15:07Z
.agent/gemini/documentation-audit-latest.md,21110,2025-11-02T20:15:07Z
.agent/gemini/documentation-audit-20251026.md,9974,2025-11-02T20:15:07Z
.agent/gemini/documentation-audit-20251026-cursor.md,15898,2025-11-02T20:15:07Z
.agent/gemini/documentation-audit-20251026-cursor-v4.md,9945,2025-11-02T20:15:06Z
.agent/gemini/documentation-audit-20251026-cursor-v3.md,10776,2025-11-02T20:15:06Z
.agent/gemini/documentation-audit-20251026-cursor-v2.md,10742,2025-11-02T20:15:06Z
.agent/gemini/deep-workflow-audit-cursor-v3.md,34358,2025-11-02T20:15:06Z
.agent/testing/workflow-validation-checklist.md,16332,2025-11-02T20:16:13Z
.agent/testing/token-validation-methodology.md,10802,2025-11-02T20:15:07Z
.agent/testing/skill-generation-test-scenario.md,14434,2025-11-02T20:15:07Z
.agent/testing/persistence-validation-checklist.md,14362,2025-11-02T20:15:07Z
.agent/testing/persistence-test-scenarios.md,23267,2025-11-02T20:15:07Z
.agent/testing/integration-test-scenarios.md,17769,2025-11-02T20:15:07Z
.agent/testing/context-workflow-test-scenario.md,11059,2025-11-02T20:15:07Z
.agent/tech-context.md,10557,2025-11-03T22:15:49Z
.agent/sops/ui-generation-workflow-detailed.md,31479,2025-11-02T20:15:07Z
.agent/sops/type-serialization.md,19214,2025-11-02T20:15:07Z
.agent/sops/server-component-data-fetching.md,19718,2025-11-02T20:15:07Z
.agent/sops/port-troubleshooting.md,8529,2025-11-02T20:15:07Z
.agent/sops/next-js-isr-pattern.md,18434,2025-11-02T20:15:07Z
.agent/sops/implementing-use-reducer-state-machines.md,13903,2025-11-02T20:15:07Z
.agent/sops/implementing-use-optimistic-updates.md,16574,2025-11-02T20:15:07Z
.agent/sops/implementing-intersection-observer-hooks.md,17117,2025-11-02T20:15:07Z
.agent/sops/git-workflow.md,12267,2025-11-02T20:15:07Z
.agent/sops/api-route-pagination-pattern.md,17624,2025-11-02T20:15:07Z
.agent/sops/api-route-creation.md,22219,2025-11-02T20:15:07Z
.agent/SKILLS_ENHANCEMENT_PLAN.md,16982,2025-11-02T20:15:07Z
.claude/skills/workflows/git-workflow.md,3613,2025-11-02T20:15:08Z
.agent/examples/persistence-examples.md,37654,2025-11-02T20:15:06Z
.agent/active-context.md,11043,2025-11-03T22:15:49Z
.agent/README.md,9743,2025-11-03T22:15:49Z
.agent/scripts/session-management.md,14451,2025-11-02T20:15:07Z
.agent/task/documentation-restructure-plan-20251102.md,41420,2025-11-02T20:15:07Z
.agent/task/current-todos.md,5434,2025-11-02T20:15:07Z
.agent/task/current-session-phase4-20251028-1611.md,2192,2025-11-02T20:15:07Z
.agent/task/current-session-phase3-20251028-1609.md,3321,2025-11-02T20:15:07Z
.agent/task/current-session-20251102-2100.md,100665,2025-11-02T20:15:07Z
.agent/task/current-session-20251101-2100.md,5908,2025-11-02T20:15:07Z
.agent/task/current-session-20251101-1445.md,5121,2025-11-02T20:15:07Z
.agent/task/current-session-20251029-resume.md,5292,2025-11-02T20:15:07Z
.agent/task/current-session-20251029-2154.md,7842,2025-11-02T20:15:07Z
.agent/task/current-session-20251029-1840.md,2782,2025-11-02T20:15:07Z
.agent/task/current-session-20251029-1709.md,15090,2025-11-02T20:15:07Z
.agent/task/current-session-20251029-1445.md,9915,2025-11-02T20:15:07Z
.agent/task/current-session-20251028-1838.md,3095,2025-11-02T20:15:07Z
.agent/task/current-session-20251028-1600.md,8209,2025-11-02T20:15:07Z
.agent/task/current-session-20251028-1500.md,2845,2025-11-02T20:15:07Z
.agent/task/current-session-20251028-1200.md,4985,2025-11-02T20:15:07Z
.agent/task/current-session-20251028-0200.md,11458,2025-11-02T20:15:07Z
.agent/task/current-session-20251027-audit.md,10876,2025-11-02T20:15:07Z
.agent/task/current-session-20251027-1500.md,4763,2025-11-02T20:15:07Z
.agent/task/current-plan.md,7356,2025-11-02T20:15:07Z
.agent/task/current-implementation-20251026.md,2249,2025-11-02T20:15:07Z
.agent/task/prisma-dynamic-filters-20251029-1720.md,34528,2025-11-02T20:15:07Z
.agent/task/prisma-5pages-query-optimization-20251028-1645.md,43058,2025-11-02T20:15:07Z
.agent/task/phase3-testing-summary-20251028.md,7141,2025-11-02T20:15:07Z
.agent/task/nextjs-testing-qa-20251028-1858.md,1860,2025-11-02T20:15:07Z
.agent/task/nextjs-performance-optimization-20251101-1659.md,40406,2025-11-02T20:15:07Z
.agent/task/nextjs-issue-detail-20251029-2154.md,41102,2025-11-02T20:15:07Z
.agent/task/nextjs-dynamic-filters-20251029-1717.md,43224,2025-11-02T20:15:07Z
.agent/task/nextjs-5-pages-architecture-20251028-0200.md,65071,2025-11-02T20:15:07Z
.agent/task/implementation-plan-3tier-persistence-20251026.md,23891,2025-11-02T20:15:07Z
.agent/task/HANDOFF_NEXT_SESSION.md,6306,2025-11-02T20:15:07Z
.agent/task/gpt-prompt-workflow-page-update.md,37734,2025-11-03T08:18:11Z
.agent/task/font-awesome-to-lucide-migration.md,7567,2025-11-02T20:15:07Z
.agent/task/e2e-test-blockers-20251028.md,7788,2025-11-02T20:15:07Z
.agent/task/react-testing-qa-20251028-1858.md,2389,2025-11-02T20:15:07Z
.agent/task/react-mobile-navigation-20251101-1700.md,55054,2025-11-02T20:15:07Z
.agent/task/react-issue-detail-composition-20251029-2154.md,51184,2025-11-02T20:15:07Z
.agent/task/react-dynamic-filters-20251029-1717.md,35269,2025-11-02T20:15:07Z
.agent/task/react-5-pages-architecture-20251028-0200.md,42913,2025-11-02T20:15:07Z
.agent/task/prisma-testing-qa-20251028-1858.md,1359,2025-11-02T20:15:07Z
.agent/task/TECHNICAL_DEBT.md,8257,2025-11-02T20:15:07Z
.agent/task/synthesize-sop-generation-20251028.md,9077,2025-11-02T20:15:07Z
.agent/task/README.md,3352,2025-11-02T20:15:07Z
.agent/task/UNTRACKED_FILES_ANALYSIS.md,11153,2025-11-02T20:15:07Z
.agent/task/workflow-page-verification-checklist.md,25527,2025-11-03T08:18:11Z
.claude/skills/validation/verification-before-completion.md,6858,2025-11-02T20:16:11Z
.claude/skills/validation/defense-in-depth-web.md,6837,2025-11-02T20:16:11Z
.agent/task/audits/audit-phase3-docs-20251030-1550.md,9243,2025-11-02T20:15:07Z
.claude/skills/git-collaboration/git-workflow-best-practices.md,18562,2025-11-02T20:15:08Z
.agent/task/templates/current-todos-template.md,595,2025-11-02T20:15:07Z
.agent/task/templates/current-session-template.md,626,2025-11-02T20:15:07Z
.agent/task/templates/current-plan-template.md,1287,2025-11-02T20:15:07Z
.claude/skills/troubleshooting/port-config.md,1107,2025-11-02T20:15:08Z
.claude/skills/troubleshooting/database-connection.md,1445,2025-11-02T20:15:08Z
.claude/skills/documentation/changelog-generator.md,8877,2025-11-02T20:16:10Z
.claude/skills/architecture/api-design-patterns.md,8572,2025-11-02T20:16:14Z
.agent/task/architecture-issue-detail-20251027-1515.md,54378,2025-11-02T20:15:07Z
.agent/system-patterns.md,14534,2025-11-02T20:15:07Z
apps/web/test-results/dashboard-Dashboard-Page-should-display-widgets-in-sidebar-chromium/error-context.md,854,2025-11-02T20:15:11Z
.claude/skills/testing/test-driven-development-web.md,11344,2025-11-02T20:16:11Z
.claude/skills/testing/api-testing-patterns.md,9050,2025-11-02T20:16:11Z
.claude/skills/debugging/systematic-debugging-web.md,11019,2025-11-02T20:16:10Z
.claude/skills/debugging/root-cause-tracing-fullstack.md,11662,2025-11-02T20:16:10Z
.claude/skills/moksha-devhub/database-patterns.md,4765,2025-11-02T20:15:08Z
.claude/skills/moksha-devhub/database-connection.md,3195,2025-11-02T20:15:08Z
.claude/skills/moksha-devhub/component-patterns.md,6390,2025-11-02T20:15:08Z
.claude/skills/moksha-devhub/ascii-wireframes.md,23236,2025-11-02T20:15:08Z
.claude/skills/moksha-devhub/api-patterns.md,4661,2025-11-02T20:15:08Z
.claude/skills/moksha-devhub/animation-patterns.md,9392,2025-11-02T20:15:08Z
.claude/skills/moksha-devhub/README.md,15362,2025-11-02T20:15:08Z
.claude/skills/moksha-devhub/port-config.md,2081,2025-11-02T20:15:08Z
.claude/skills/moksha-devhub/git-workflow.md,2499,2025-11-02T20:15:08Z
.claude/skills/moksha-devhub/testing-patterns.md,11782,2025-11-02T20:15:08Z
.claude/skills/moksha-devhub/superdesign-ui-generator.md,17511,2025-11-02T20:15:08Z
.claude/skills/moksha-devhub/ui-generation-workflow.md,7902,2025-11-02T20:15:08Z
apps/web/test-results/dashboard-Dashboard-Page-should-display-the-welcome-banner-chromium/error-context.md,854,2025-11-02T20:15:11Z
apps/web/test-results/dashboard-Dashboard-Page-should-display-the-dashboard-layout-chromium/error-context.md,854,2025-11-02T20:15:11Z
apps/web/test-results/dashboard-Dashboard-Page-s-32ca7-splay-recent-issues-section-chromium/error-context.md,854,2025-11-02T20:15:11Z
apps/web/test-results/agents-Agent-Personas-Page-37f56-nder-header-and-agent-cards-chromium/error-context.md,854,2025-11-02T20:15:11Z
AGENTS.md,10025,2025-11-03T22:15:49Z
8_agentworflow_template/PLANNING_SYSTEM_USAGE.md,12238,2025-11-02T20:16:11Z
8_agentworflow_template/PLANNING_PHASES_TEMPLATE.md,31115,2025-11-02T20:16:11Z
8_agentworflow_template/planning/questions.md,18421,2025-11-02T20:16:11Z
8_agentworflow_template/planning/project-planner.md,19516,2025-11-02T20:16:11Z
apps/mcp-docker/README.md,2828,2025-11-03T22:15:49Z
apps/mcp-docker/node_modules/zod-to-json-schema/SECURITY.md,292,2025-11-02T20:15:11Z
apps/mcp-docker/node_modules/zod-to-json-schema/README.md,33661,2025-11-02T20:15:11Z
apps/mcp-docker/node_modules/fast-deep-equal/README.md,3323,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/cors/README.md,9206,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/cors/HISTORY.md,1169,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/cors/CONTRIBUTING.md,1028,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/express-rate-limit/readme.md,8653,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/express-rate-limit/license.md,1082,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/bytes/Readme.md,4770,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/bytes/History.md,1775,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/cookie-signature/Readme.md,427,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/cookie-signature/History.md,1481,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/es-errors/README.md,2114,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/es-errors/CHANGELOG.md,1833,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/body-parser/README.md,19420,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/cookie/SECURITY.md,1180,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/cookie/README.md,11769,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/express/Readme.md,9350,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/content-type/README.md,2782,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/content-type/HISTORY.md,523,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/accepts/README.md,4122,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/accepts/HISTORY.md,5218,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/pkce-challenge/README.md,1063,2025-11-02T20:15:10Z
apps/mcp-docker/node_modules/content-disposition/README.md,5205,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/content-disposition/HISTORY.md,1112,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/express/History.md,122540,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/.ignored/typescript/SECURITY.md,2656,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/.ignored/typescript/README.md,2792,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/body-parser/HISTORY.md,18277,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/call-bound/CHANGELOG.md,2880,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/es-define-property/README.md,2056,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/es-define-property/CHANGELOG.md,2296,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/path-to-regexp/Readme.md,7850,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/.ignored/@modelcontextprotocol/sdk/README.md,47546,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/call-bound/README.md,1897,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/eventsource-parser/README.md,5023,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/ajv/README.md,85598,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/depd/Readme.md,9988,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/encodeurl/README.md,3221,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/path-key/readme.md,1347,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/ee-first/README.md,2617,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/call-bind-apply-helpers/README.md,2330,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/call-bind-apply-helpers/CHANGELOG.md,1938,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/parseurl/README.md,4094,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/parseurl/HISTORY.md,1043,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/zod-to-json-schema/contributing.md,388,2025-11-02T20:15:11Z
apps/mcp-docker/node_modules/zod-to-json-schema/changelog.md,29734,2025-11-02T20:15:11Z
apps/mcp-docker/node_modules/eventsource/README.md,5184,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/once/README.md,1772,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/depd/History.md,2256,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/dunder-proto/CHANGELOG.md,1547,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/dunder-proto/README.md,1907,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/on-finished/README.md,5160,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/on-finished/HISTORY.md,1865,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/ajv/lib/dotjs/README.md,149,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/escape-html/Readme.md,707,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/debug/README.md,22115,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/etag/README.md,4198,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/etag/HISTORY.md,1732,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/inherits/README.md,1625,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/cross-spawn/README.md,4117,2025-11-02T20:15:08Z
apps/mcp-docker/node_modules/mime-db/README.md,4949,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/mime-db/HISTORY.md,13886,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/iconv-lite/README.md,6352,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/es-object-atoms/README.md,2603,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/es-object-atoms/CHANGELOG.md,2136,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/merge-descriptors/readme.md,930,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/object-inspect/readme.markdown,2988,2025-10-23T17:57:22Z
apps/mcp-docker/node_modules/media-typer/README.md,2992,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/media-typer/HISTORY.md,1155,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/object-inspect/CHANGELOG.md,36562,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/get-proto/README.md,1794,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/get-proto/CHANGELOG.md,1054,2025-11-02T20:15:09Z
apps/mcp-docker/node_modules/iconv-lite/Changelog.md,6581,2025-11-02T20:15:09Z
